#OTU ID	mgm4440090	mgm4440419	mgm4440420	mgm4440421	mgm4440425	mgm4440426	mgm4440428	mgm4440429	mgm4440430	mgm4440432	mgm4440433	mgm4440434	mgm4440435	mgm4440436	mgm4440437	mgm4440438
Pseudomonadota	0.746572104018912	0.0186021791124103	0.882169011766642	0.370103916866507	0.403723507054049	0.766532489936745	0.252873563218391	0.047216441207076	0.0521643298842834	0.689338235294118	0.0520050125313283	0.331309297912713	0.648269040553907	0.640740740740741	0.685181325552313	0.0526798509601605
Actinomycetota	0.0645390070921986	0.0259544689520772	0.0044433473216489	0.262190247801759	0.123623011015912	0.0862564692351926	0.136494252873563	0.0525494276795005	0.0502051062266577	0.0459558823529412	0.0489505012531328	0.129032258064516	0.0716122650840752	0.0962962962962963	0.223739057940809	0.052249928346231
Chloroflexota	0.0009456264775413	0.0002657454158915	0.0001645684193203	0.0007993605115907	0.0013528312826129	0.0005750431282346	0.0028735632183908	0.0005202913631633	0.0005510316537072	0.0	0.000391604010025	0.0003795066413662	0.0003956478733926	0.0067901234567901	0.0004515770459913	0.0005588993981083
Bacillota	0.0299054373522459	0.0007972362476747	0.0041142104830083	0.0319744204636291	0.0088256136056174	0.0414031052328925	0.0488505747126437	0.0020811654526534	0.0022041266148288	0.0992647058823529	0.0019188596491228	0.006831119544592	0.0071216617210682	0.104938271604938	0.0161873002639989	0.0024648896531957
Cyanobacteriota	0.009692671394799	0.0003543272211887	0.0002468526289804	0.0031974420463629	0.0060555305031244	0.00747556066705	0.0057471264367816	0.0015608740894901	0.0011632890467152	0.0183823529411765	0.0012139724310776	0.006831119544592	0.0065281899109792	0.0098765432098765	0.0160830901764624	0.0010748065348237
Candidatus.Melainabacteria	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0006172839506172	3.47366958454912e-05	0.0
Candidatus.Margulisbacteria	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.47366958454912e-05	0.0
Deinococcota	0.0009456264775413	0.0001771636105943	0.0	0.0015987210231814	0.0014816723571474	0.0	0.0014367816091954	0.0010405827263267	0.0006734831323088	0.0	0.00046992481203	0.0003795066413662	0.0015825914935707	0.0030864197530864	0.0007294706127553	0.0005588993981083
Armatimonadota	0.0002364066193853	0.0	0.0	0.0	0.0001932616118018	0.0	0.0	0.0	0.0	0.0	3.91604010025063e-05	0.0	0.0	0.0	0.0001736834792274	5.7323015190599e-05
Mycoplasmatota	0.0041371158392435	0.0	8.22842096601662e-05	0.0007993605115907	0.0003865232236036	0.0057504312823461	0.0057471264367816	0.0	6.12257393008021e-05	0.0220588235294118	3.91604010025063e-05	0.0003795066413662	0.0009891196834817	0.0055555555555555	0.0006252605252188	1.43307537976498e-05
Thermomicrobiota	0.0	0.0	8.22842096601662e-05	0.0	0.0	0.0	0.0	0.0	6.12257393008021e-05	0.0018382352941176	0.0	0.0	0.0	0.0	0.0	4.29922613929493e-05
Candidatus.Kaiserbacteria	0.0	0.0	8.22842096601662e-05	0.0	6.44205372672808e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0001978239366963	0.0006172839506172	6.94733916909824e-05	2.86615075952995e-05
Candidatus.Nomurabacteria	0.000354609929078	0.0	0.0	0.0	6.44205372672808e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0003956478733926	0.0018518518518518	3.47366958454912e-05	0.0
Candidatus.Yanofskybacteria	0.0001182033096926	0.0	0.0	0.0	0.0	0.0005750431282346	0.0	0.0	0.0	0.0018382352941176	0.0	0.0	0.0001978239366963	0.0006172839506172	0.0	0.0
Candidatus.Azambacteria	0.0002364066193853	0.0	0.0	0.0	6.44205372672808e-05	0.0	0.0014367816091954	0.0	0.0	0.0	0.0	0.0	0.0	0.0006172839506172	0.0	0.0
Candidatus.Falkowbacteria	0.0002364066193853	0.0	0.0	0.0	0.0	0.0	0.0	0.0001300728407908	0.0	0.0018382352941176	0.0	0.0	0.0	0.0	0.0	1.43307537976498e-05
Candidatus.Magasanikbacteria	0.0008274231678487	0.0	0.0	0.0	6.44205372672808e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0012345679012345	0.0001736834792274	4.29922613929493e-05
Candidatus.Nealsonbacteria	0.0001182033096926	0.0	0.0	0.0	0.0001288410745345	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0006172839506172	0.0	0.0
Candidatus.Uhrbacteria	0.000354609929078	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0001224514786016	0.0	0.0001174812030075	0.0	0.0001978239366963	0.0006172839506172	6.94733916909824e-05	0.0
Candidatus.Giovannonibacteria	0.0	0.0	0.0	0.0	6.44205372672808e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Candidatus.Moranbacteria	0.0001182033096926	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.12257393008021e-05	0.0	0.0	0.0003795066413662	0.0	0.0012345679012345	3.47366958454912e-05	1.43307537976498e-05
Candidatus.Zambryskibacteria	0.0001182033096926	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Candidatus.Staskawiczbacteria	0.0001182033096926	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Candidatus.Wolfebacteria	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.12257393008021e-05	0.0	0.0	0.0	0.0	0.0	0.0	1.43307537976498e-05
Candidatus.Harrisonbacteria	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0006172839506172	0.0	0.0
Candidatus.Taylorbacteria	0.0001182033096926	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0006172839506172	3.47366958454912e-05	1.43307537976498e-05
