source,target,type,weight,a,b,c,signal
1,67,Undirected,0.00330000,2,4,0,pos
1,68,Undirected,0.00500000,3,3,0,pos
1,69,Undirected,0.01310000,1,5,0,pos
1,70,Undirected,-0.00930000,4,2,0,neg
1,71,Undirected,-0.01800000,3,3,0,neg
1,72,Undirected,-0.01690000,5,1,0,neg
1,73,Undirected,-0.00630000,6,0,0,neg
1,74,Undirected,-0.01970000,2,4,0,neg
1,75,Undirected,-0.00300000,2,4,0,neg
1,76,Undirected,-0.00020000,1,5,0,neg
1,77,Undirected,-0.01190000,4,2,0,neg
1,78,Undirected,-0.00030000,4,2,0,neg
1,79,Undirected,-0.00950000,1,5,0,neg
1,80,Undirected,-0.01530000,3,3,0,neg
1,81,Undirected,-0.01480000,2,4,0,neg
1,82,Undirected,-0.00710000,3,3,0,neg
1,83,Undirected,0.01560000,3,3,0,pos
1,84,Undirected,-0.01000000,4,2,0,neg
1,85,Undirected,0.00070000,5,1,0,pos
1,86,Undirected,0.00620000,5,1,0,pos
1,87,Undirected,-0.01420000,3,3,0,neg
1,88,Undirected,-0.01810000,4,2,0,neg
1,89,Undirected,-0.00580000,6,0,0,neg
1,90,Undirected,-0.02150000,6,0,0,neg
1,91,Undirected,-0.00220000,3,3,0,neg
1,92,Undirected,-0.00510000,1,5,0,neg
1,93,Undirected,-0.01670000,6,0,0,neg
1,94,Undirected,-0.02490000,3,3,0,neg
1,95,Undirected,-0.00940000,4,2,0,neg
1,96,Undirected,-0.01210000,5,1,0,neg
1,97,Undirected,-0.01820000,3,3,0,neg
1,98,Undirected,-0.03960000,1,5,0,neg
2,3,Undirected,0.00790000,2,3,1,pos
2,4,Undirected,-0.03990000,4,0,2,neg
2,5,Undirected,-0.00060000,4,2,0,neg
2,6,Undirected,-0.03150000,4,2,0,neg
2,7,Undirected,-0.01250000,1,3,2,neg
2,8,Undirected,-0.01550000,3,2,1,neg
2,9,Undirected,-0.00850000,4,2,0,neg
2,10,Undirected,0.00610000,1,3,2,pos
2,11,Undirected,-0.00280000,0,5,1,neg
2,12,Undirected,-0.04040000,2,2,2,neg
2,13,Undirected,-0.04260000,2,2,2,neg
2,14,Undirected,-0.01820000,1,3,2,neg
2,15,Undirected,-0.02840000,1,3,2,neg
2,16,Undirected,-0.01900000,1,3,2,neg
2,17,Undirected,-0.00780000,1,3,2,neg
2,18,Undirected,-0.00440000,1,5,0,neg
2,19,Undirected,-0.00740000,1,4,1,neg
2,20,Undirected,0.01650000,2,2,2,pos
2,21,Undirected,-0.00670000,2,2,2,neg
2,22,Undirected,-0.01440000,1,4,1,neg
2,23,Undirected,0.00710000,2,2,2,pos
2,24,Undirected,-0.00440000,1,3,2,neg
2,25,Undirected,-0.00970000,1,3,2,neg
2,26,Undirected,-0.02360000,3,1,2,neg
2,27,Undirected,-0.00480000,2,2,2,neg
2,28,Undirected,0.00380000,1,3,2,pos
2,29,Undirected,-0.00320000,1,3,2,neg
2,30,Undirected,-0.01350000,1,3,2,neg
2,31,Undirected,-0.01340000,2,3,1,neg
2,32,Undirected,0.01060000,1,3,2,pos
2,33,Undirected,-0.00780000,1,4,1,neg
2,34,Undirected,-0.02690000,2,2,2,neg
2,35,Undirected,-0.01250000,2,2,2,neg
2,36,Undirected,-0.01310000,1,4,1,neg
2,37,Undirected,-0.01360000,2,3,1,neg
2,38,Undirected,-0.00820000,1,3,2,neg
2,39,Undirected,-0.01240000,4,2,0,neg
2,40,Undirected,-0.01720000,1,4,1,neg
2,41,Undirected,0.00520000,2,2,2,pos
2,42,Undirected,-0.01750000,3,2,1,neg
2,43,Undirected,-0.02270000,2,2,2,neg
2,44,Undirected,-0.03460000,4,1,1,neg
2,45,Undirected,-0.02110000,0,5,1,neg
2,46,Undirected,-0.00430000,3,3,0,neg
2,47,Undirected,-0.00980000,2,2,2,neg
2,48,Undirected,0.01400000,1,3,2,pos
2,49,Undirected,-0.00380000,1,4,1,neg
2,50,Undirected,-0.00390000,1,3,2,neg
2,51,Undirected,-0.02000000,0,5,1,neg
2,52,Undirected,-0.00260000,2,2,2,neg
2,53,Undirected,-0.01690000,2,2,2,neg
2,54,Undirected,0.00400000,1,3,2,pos
2,55,Undirected,-0.01440000,2,2,2,neg
2,56,Undirected,-0.01140000,2,2,2,neg
2,57,Undirected,0.00490000,1,3,2,pos
2,58,Undirected,-0.02020000,1,4,1,neg
2,59,Undirected,-0.01360000,1,3,2,neg
2,60,Undirected,0.00200000,1,3,2,pos
2,61,Undirected,-0.01510000,1,3,2,neg
2,62,Undirected,-0.00380000,1,3,2,neg
2,63,Undirected,-0.00540000,1,3,2,neg
2,64,Undirected,-0.02190000,1,3,2,neg
2,65,Undirected,-0.01090000,3,1,2,neg
2,66,Undirected,-0.00900000,3,1,2,neg
2,67,Undirected,-0.01340000,2,2,2,neg
2,68,Undirected,-0.00840000,2,3,1,neg
2,69,Undirected,-0.00810000,1,3,2,neg
2,70,Undirected,-0.00520000,3,2,1,neg
2,71,Undirected,-0.00700000,2,3,1,neg
2,72,Undirected,-0.00480000,3,3,0,neg
2,73,Undirected,-0.04110000,4,2,0,neg
2,74,Undirected,-0.00120000,2,2,2,neg
2,75,Undirected,-0.02700000,2,2,2,neg
2,76,Undirected,-0.00810000,1,3,2,neg
2,77,Undirected,-0.00860000,3,2,1,neg
2,78,Undirected,-0.01480000,3,2,1,neg
2,79,Undirected,-0.00420000,1,3,2,neg
2,80,Undirected,0.01060000,3,1,2,pos
2,81,Undirected,0.00960000,1,4,1,pos
2,82,Undirected,-0.01100000,2,3,1,neg
2,83,Undirected,-0.01260000,3,1,2,neg
2,84,Undirected,-0.01700000,3,2,1,neg
2,85,Undirected,-0.01490000,4,1,1,neg
