#OTU ID	mgm4713017	mgm4713020	mgm4713021	mgm4713022	mgm4713025	mgm4713028	mgm4713031	mgm4713033	mgm4713035	mgm4713037
Candidatus.Campbellbacteria	5.71652986057955e-06	6.39036843669222e-06	7.12602426701582e-06	8.86975995919241e-06	9.26949432591079e-06	8.65556629632646e-06	6.34375018373667e-06	7.74097719785406e-06	7.89450831686451e-06	6.70537102613969e-06
Candidatus.Colwellbacteria	3.8014923572854e-05	1.51156791867912e-05	3.95890237056435e-05	2.19233689557397e-05	1.81176480006438e-05	1.88848719192577e-05	2.02690554651098e-05	1.37488997991736e-05	3.68410388120344e-05	4.21480464500209e-05
Candidatus.Vogelbacteria	3.20125672192455e-05	1.89253219086654e-05	2.53369751716118e-05	2.39316164936701e-05	2.35950764659547e-05	3.02944820371426e-05	2.52202751207092e-05	1.73305459653449e-05	5.86825118220262e-05	6.63352776514534e-05
Candidatus.Spechtbacteria	4.00157090240569e-06	3.07229251764049e-06	3.95890237056435e-06	3.01237130689554e-06	4.63474716295539e-06	3.34419606903522e-06	4.33231719864943e-06	4.15933103168278e-06	2.36835249505935e-06	2.39477536647846e-06
Candidatus.Brennerbacteria	4.57322388846364e-06	7.37350204233717e-06	6.59817061760724e-06	7.19622034425045e-06	8.0054723723775e-06	4.91793539564003e-06	8.50990878306138e-06	8.20312509026326e-06	5.26300554457634e-06	3.35268551306985e-06
Candidatus.Andersenbacteria	6.28818284663751e-06	6.14458503528098e-06	1.10849266375802e-05	7.69828222873304e-06	5.05608781413316e-06	6.29495730641924e-06	8.20045755458642e-06	7.74097719785406e-06	1.71047680198731e-05	2.05950681517148e-05
Candidatus.Jacksonbacteria	2.00078545120284e-06	1.2289170070562e-06	1.84748777293003e-06	1.00412376896518e-06	4.21340651177763e-07	7.86869663302405e-07	1.85670737084976e-06	1.73305459653449e-06	1.5789016633729e-06	1.19738768323923e-06
Candidatus.Parcubacteria	0.0	6.14458503528098e-07	0.0	1.00412376896518e-06	2.10670325588882e-07	1.96717415825601e-07	4.64176842712439e-07	2.31073946204599e-07	5.26300554457634e-07	1.19738768323923e-06
Candidatus.Veblenbacteria	3.42991791634773e-06	4.30120952469669e-06	2.6392682470429e-06	3.51443319137812e-06	8.42681302355526e-07	2.55732640573282e-06	5.41539649831179e-06	4.04379405858048e-06	3.42095360397462e-06	3.59216304971769e-06
Candidatus.Woesebacteria	6.88841848199836e-05	4.53470375603736e-05	7.12602426701582e-05	5.97453642534281e-05	5.89876911648868e-05	5.724476800525e-05	6.18902456949919e-05	4.70235480526359e-05	7.60504301191281e-05	8.45355704366897e-05
Candidatus.Gottesmanbacteria	0.000296402073271	6.24289839584547e-05	0.0002850409706806	0.0001594883253039	0.0002412175227992	0.0002378313557331	0.0001530236324808	6.47007049372877e-05	0.0003278852454271	0.0003199419889615
Candidatus.Roizmanbacteria	0.0001360534106817	0.0001144121733569	0.0001298519977545	0.0001246787013131	0.0001375677226095	0.0001253089938809	0.0001325998514015	0.0001209672108381	0.0001713108304759	0.0001812844952424
Candidatus.Levybacteria	0.0001763549461988	5.01398138878928e-05	0.0001733999238307	8.41790426315808e-05	0.0001407277774933	0.0001319973860189	8.81936001153634e-05	4.42506606981807e-05	0.0001968364073671	0.0001968505351245
Candidatus.Daviesbacteria	0.00012833609537	3.63759434088634e-05	0.0001227259734874	5.65656389850384e-05	0.000104492481492	0.0001060306871299	5.80221053390549e-05	3.45455549575875e-05	0.0001160492722579	0.0001197387683239
Candidatus.Curtissbacteria	0.0001280502688769	2.69132824545307e-05	0.0001211424125392	6.24230276373353e-05	9.90150530267743e-05	0.0001020963388134	5.66295748109176e-05	2.7382262625245e-05	0.0001144703705945	0.000105370116125
