#OTU ID	mgm4530252	mgm4530253	mgm4530254	mgm4530373	mgm4530430	mgm4530431	mgm4530432	mgm4530290	mgm4530291	mgm4530370	mgm4530372	mgm4530427	mgm4530428	mgm4530429	mgm4461451	mgm4461452	mgm4461453	mgm4461454	mgm4461455	mgm4461456	mgm4775061	mgm4775062	mgm4476434	mgm4476436	mgm4476439
Candidatus Gottesmanbacteria	0.00014386540967791	0.00019544371831674	0.00011382790096971999	6.20995870377462e-05	0.00018269997342545	0.00023668639053253999	0.00029930518439337	0.00015037443233651	0.00014594126906357	0.00022790464469665	0.00033200531208499	6.1980909879757e-05	6.496506323266159e-05	4.7997312150519606e-05	0.0	0.00082884376295068	0.00039666798889328997	0.00097991180793728	0.00043927081045464	0.0	8.01477528613706e-05	6.00490254560147e-05	0.0	0.0	0.0
Candidatus Roizmanbacteria	0.00011001472504781	6.41299700726806e-05	0.00010069391239629	0.0009314938055661901	0.00044844538931702996	0.00059171597633136	0.00047033671833244004	0.00013032450802498002	0.00013551689270189	0.00050139021833265	0.00033200531208499	0.0001007189785546	0.00011549344574695	0.00019198924860207	0.00043975373790677	0.00041442188147534	0.00019833399444664	0.00048995590396864	0.00021963540522732	0.0	0.00019861315649311002	0.00013600507752288999	0.0	0.00068917987594762	0.0005162622612287
Candidatus Levybacteria	4.231335578762079e-05	4.88609295791852e-05	6.566994286714971e-05	2.06998623459154e-05	0.0002159181504119	0.00025359256128486003	0.00023516835916622002	0.00010024962155766999	0.00012509251634021	0.0	0.00044267374944665	8.52237510846659e-05	2.16550210775538e-05	9.59946243010391e-05	0.0	0.00041442188147534	0.0	0.0	0.00043927081045464	0.0	3.32086306676595e-05	1.7895404937222897e-05	0.0	0.0	0.0005162622612287
Candidatus Daviesbacteria	4.231335578762079e-05	2.44304647895926e-05	9.19379200140096e-05	1.03499311729577e-05	0.00016609088493223	0.00010143702451394	0.00014965259219668	6.0149772934607204e-05	2.08487527233683e-05	0.00018232371575732	0.00011066843736166001	3.09904549398785e-05	4.33100421551077e-05	4.7997312150519606e-05	0.0	0.0	0.0	0.0	0.0	0.00079808459696727	0.00010281902956717	7.4365349405793e-05	0.0	0.0	0.0
Candidatus Curtissbacteria	1.69253423150483e-05	1.83228485921945e-05	3.940196572028979e-05	1.03499311729577e-05	0.00053149083178315	0.00045646661031275996	0.00042757883484767	8.019969724614291e-05	9.38193872551575e-05	0.00018232371575732	0.0	0.00010846659228957	9.38384246694e-05	4.7997312150519606e-05	0.0	0.0	0.0	0.0	0.0	0.0	8.621471423334681e-05	5.0504809489495796e-05	0.0	0.0	0.0
Candidatus Shapirobacteria	8.462671157524159e-06	9.16142429609723e-06	1.3133988573429901e-05	6.20995870377462e-05	0.00039861812383736	0.00032121724429416	0.00029930518439337	7.0174735090375e-05	2.08487527233683e-05	0.00013674278681799	0.00011066843736166001	3.09904549398785e-05	1.4436680718369199e-05	7.199596822577941e-05	0.0	0.0	0.00019833399444664	0.0	0.0	0.0	1.82008841159288e-05	1.3918648284506699e-05	0.0	0.0	0.0
Candidatus Beckwithbacteria	7.61640404177174e-05	5.19147376778843e-05	0.00012258389335201002	8.27994493836616e-05	0.0002159181504119	0.00016906170752324	0.00019241047568145	2.00499243115357e-05	3.12731290850525e-05	4.55809289393318e-05	0.00011066843736166001	0.00010846659228957	0.00012271178610613002	9.59946243010391e-05	0.00043975373790677	0.0	0.00019833399444664	0.0	0.0	0.0	3.0334806859881298e-05	4.2153620518791794e-05	0.0	0.0	0.0
Candidatus Amesbacteria	7.61640404177174e-05	4.27533133817871e-05	5.25359542937198e-05	3.10497935188731e-05	4.98272654796705e-05	3.38123415046492e-05	4.27578834847675e-05	4.00998486230714e-05	1.0424376361684199e-05	4.55809289393318e-05	0.0	3.09904549398785e-05	2.8873361436738502e-05	4.7997312150519606e-05	0.00043975373790677	0.0	0.00039666798889328997	0.00048995590396864	0.0	0.0	1.5965687820990197e-05	2.38605399162972e-05	0.0	0.0	0.0
Candidatus Chisholmbacteria	8.462671157524159e-06	9.16142429609723e-06	4.37799619114331e-06	0.0	9.9654530959341e-05	0.0	4.27578834847675e-05	2.00499243115357e-05	2.08487527233683e-05	0.0	0.0	7.74761373496963e-06	1.4436680718369199e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.61837280264239e-05	1.35209726192351e-05	0.0	0.0	0.0
Candidatus Collierbacteria	0.0	6.10761619739816e-06	3.0645973338003196e-05	0.0006209958703774599	0.0002159181504119	0.00011834319526626999	6.41368252271513e-05	3.0074886467303602e-05	0.0	4.55809289393318e-05	0.00011066843736166001	1.54952274699393e-05	1.4436680718369199e-05	0.0	0.0	0.00041442188147534	0.00039666798889328997	0.0	0.00021963540522732	0.0	2.2032649192966398e-05	1.51116752803216e-05	0.0	0.0	0.0
