#OTU ID	mgm4739174	mgm4739175	mgm4739176	mgm4739177	mgm4739178	mgm4739179	mgm4739181	mgm4739182	mgm4739183	mgm4739184	mgm4739185	mgm4739186	mgm4739187	mgm4739188	mgm4739189
Candidatus Microgenomates	7.83234602260415e-06	2.4871878734668e-06	0.0	0.00041943268268329	0.0	0.0	3.62624969630159e-06	4.32826234117441e-06	0.000354378598056	0.0	1.80419005097438e-06	0.0	0.0005206352908746901	0.0	1.52136490774063e-06
Candidatus Gracilibacteria	0.0	1.2435939367334e-06	0.0	2.52474042003536e-05	6.69176076955249e-06	0.0	1.81312484815079e-06	9.52217715058371e-06	6.87111033927081e-05	0.0	9.62234693853004e-06	0.0	1.49558643379228e-05	1.43111882007116e-06	5.3247771770922e-06
candidate division NC10	0.0006840248859740901	0.00070884854393803	0.00040484134407326003	0.00853850921408088	0.00019740694270179	0.00032626529760728	0.00029614372519796	0.00073840155540435	0.024441423877127003	0.00029209895272584	0.00031513186223685	0.00025631167499678997	0.0518233791984875	0.00087441359906347	0.00053171703525535
Candidatus Rokubacteria	0.00122967832554885	0.00166206329644419	0.00234528778635545	0.00882600384900749	0.0006859054788791299	0.00138767323693867	0.00114891677877822	0.00250952650541292	0.0169064566667335	0.0006713687971028599	0.00159129562495941	0.00116505306816725	0.0141110342503897	0.0019649261399577	0.0021474065672759
Candidatus Handelsmanbacteria	6.0047986173298496e-05	0.0001343081451672	0.0001814806025156	0.00059860780926644	7.02634880803011e-05	8.67949349403991e-05	7.373374382479891e-05	0.00018438397573403002	0.00189465765295735	4.1291474992659295e-05	8.9608105865061e-05	6.4077918749199e-05	0.0005611218731228	0.00013023181262647	0.00010801690844958001
Candidatus Schekmanbacteria	7.31018962109721e-05	2.6737269639768102e-05	5.58401853894155e-05	0.0008486385540893	1.3383521539105001e-05	3.97374400931948e-05	1.2087498987672001e-05	6.6655240054086e-05	0.00018003422320086998	4.43501027698933e-05	1.44335204077951e-05	2.9126326704181397e-05	0.0005314115702292901	1.5742307020782698e-05	2.12991087083688e-05
Candidatus Aminicenantes	0.00043338981325076004	0.00215825727720082	0.00016752055616823998	0.00172008121519829	0.00016394813885403	0.00069017659109233	0.0004309193389105	0.00066308979066792	0.00073949474641459	0.00090076588039541	0.00025499219387104	0.0021844745028136	0.00061047118979339	0.0030611631561322	0.00043054626889059
Candidatus Glassbacteria	0.00012009597234658999	6.52886816785036e-05	4.18801390420616e-05	0.00109459713694436	1.3383521539105001e-05	3.97374400931948e-05	2.9614372519796302e-05	5.79987153717371e-05	0.00012653727951528	2.14103944406382e-05	2.88670408155901e-05	3.49515920450177e-05	0.00011471198303632	6.4400346903202e-05	4.18375349628673e-05
candidate division WWE3	0.00011226362632398999	2.11410969244678e-05	0.0	0.00069552526410006	1.3383521539105001e-05	2.8234496908322603e-05	1.5109373734589902e-05	9.175916163289759e-05	0.0008724021822300099	1.37638249975531e-05	2.10488839280345e-05	5.8252653408362705e-06	0.00027862221340648	1.5742307020782698e-05	5.476913667866261e-05
Candidatus Peregrinibacteria	0.00027152132878361003	6.280149380503679e-05	0.00016752055616823998	0.0016443390025972198	3.68046842325387e-05	5.9606160139792104e-05	3.92843717099339e-05	0.00018265267079756002	0.00178240684048411	4.740873054712729e-05	6.73564285697103e-05	5.8252653408362705e-06	0.00069935031624603	5.29513963426327e-05	9.432462427991899e-05
Candidatus Doudnabacteria	6.0047986173298496e-05	1.05705484622339e-05	0.0	0.00054729856847218	3.34588038477624e-06	1.77772758311661e-05	7.85687434198677e-06	3.98200135388046e-05	0.0015389184389925801	4.58794166585103e-06	9.62234693853004e-06	0.0	0.00044530204828367004	1.00178317404981e-05	2.28204736161094e-05
Candidatus Berkelbacteria	2.8718602082881898e-05	1.2435939367334e-05	1.39600463473539e-05	0.00045119554603212	1.67294019238812e-05	1.4640109508019101e-05	1.32962488864392e-05	5.626741043526739e-05	0.00066416610201106	1.52931388861701e-06	1.20279336731626e-05	5.8252653408362705e-06	0.00022433796506884	1.00178317404981e-05	2.43418385238501e-05
Candidatus Gribaldobacteria	2.6107820075347197e-06	2.4871878734668e-06	0.0	0.0001254225886082	0.0	1.04572210771565e-06	1.2087498987671998e-06	7.79087221411394e-06	0.00014886374965458	9.17588333170206e-06	1.80419005097438e-06	2.9126326704181397e-05	4.42129592211993e-05	0.0	6.84614208483283e-06
Candidatus Saccharibacteria	5.7437204165763796e-05	1.74103151142676e-05	1.39600463473539e-05	0.00014659783084076	4.01505646173149e-05	1.67315537234504e-05	1.5109373734589902e-05	6.92521974587906e-05	0.0011726653748237099	1.2234511108936099e-05	2.04474872443763e-05	1.16505306816725e-05	0.00020016687118937	2.43290199412096e-05	7.074346820993921e-05
Candidatus Eisenbacteria	0.00015925770245961	0.00037121279011492	0.00060028199293621	0.00031925749827542996	0.00016729401923881002	0.00030953374388383	0.00024054122985467003	0.0004146475322845	0.00041090600444748	0.00010093471664872	0.00026341174744226	0.00055340020737944	0.0004894142946137	0.00040500662608013	0.00039099078128934
Candidatus Desantisbacteria	1.8275474052743e-05	9.94875149386722e-06	4.18801390420616e-05	0.00034450490247579	3.34588038477624e-06	1.4640109508019101e-05	8.46124929137037e-06	4.50139283482139e-05	0.00016030529252376	7.64656944308505e-06	6.01396683658128e-06	5.24273880675265e-05	9.66340190723023e-05	2.28979011211385e-05	1.74956964390172e-05
Candidatus Edwardsbacteria	3.13293840904166e-05	3.23334423550685e-05	0.0	0.00026469052790692996	6.69176076955249e-06	1.3594387400303501e-05	1.9339998380275102e-05	3.8088708602334794e-05	8.36160322114684e-05	1.52931388861701e-05	1.14265369895044e-05	0.0	6.98947464681374e-05	3.1484614041565396e-05	1.59743315312766e-05
Candidatus Lindowbacteria	3.13293840904166e-05	3.9173209007102206e-05	1.39600463473539e-05	0.00017021637025398998	1.67294019238812e-05	2.405160847746e-05	2.29662480765767e-05	4.93421906893883e-05	0.0006767827222559901	2.4469022217872198e-05	2.40558673463251e-05	5.8252653408362705e-06	0.00016839195402698	3.57779705017789e-05	3.95554876012563e-05
Candidatus Ratteibacteria	1.56646920452083e-05	5.59617271530031e-06	1.39600463473539e-05	0.0002125668547191	6.69176076955249e-06	4.18288843086261e-06	3.02187474691799e-06	4.32826234117441e-06	5.12086351117573e-05	1.52931388861701e-06	4.2097767856068905e-06	0.0	3.15734913800592e-05	4.2933564602134695e-06	4.56409472322189e-06
Candidatus Dadabacteria	3.9161730113020796e-05	6.6532275615237e-05	0.0	5.37525379749464e-05	1.3383521539105001e-05	8.365776861725211e-06	6.04374949383598e-06	2.9432183919985997e-05	7.11849504995563e-05	2.29397083292552e-05	1.2629330356820698e-05	8.737898011254409e-05	5.9068110667957604e-05	2.43290199412096e-05	1.67350139851469e-05
Candidatus Firestonebacteria	5.22156401506943e-05	8.08336058876711e-06	0.0	0.00017836069418959	0.0	9.41149896944086e-06	6.64812444321958e-06	2.42382691105767e-05	8.50384942979061e-05	7.64656944308505e-06	1.5636313775111302e-05	0.0	7.87574808906101e-05	1.43111882007116e-06	2.0538426254498497e-05
Candidatus Raymondbacteria	5.7437204165763796e-05	1.43013302724341e-05	0.0	0.00042106154747041	6.69176076955249e-06	4.18288843086261e-06	2.41749979753439e-06	2.5103921578811602e-05	6.67938718849008e-05	3.05862777723402e-06	8.41955357121379e-06	0.0	7.28154203119068e-05	2.43290199412096e-05	1.59743315312766e-05
Candidatus Riflebacteria	2.34970380678125e-05	1.67885181459009e-05	0.0	5.5381402762066005e-05	0.0	1.67315537234504e-05	1.0274374139521199e-05	3.0297836388220897e-05	5.46720210613447e-05	0.0	1.3832123724136902e-05	0.0	4.52704445784262e-05	2.14667823010673e-05	1.29316017157953e-05
Candidatus Wallbacteria	0.0	6.2179696836670095e-06	0.0	2.1989674626114398e-05	0.0	5.22861053857826e-06	8.46124929137037e-06	1.21191345552884e-05	3.52523212725865e-05	0.0	5.41257015292315e-06	0.0	2.70917677232406e-05	1.4311188200711599e-05	9.88887190031409e-06
candidate division CPR1	4.6994076135624895e-05	2.4871878734668e-06	4.18801390420616e-05	9.85463196207351e-05	0.0	0.0	1.2087498987671998e-06	8.65652468234883e-07	0.0001608619081228	0.0	0.0	1.16505306816725e-05	7.82035599892056e-05	1.43111882007116e-06	2.28204736161094e-06
Candidatus Coatesbacteria	3.39401660979513e-05	1.8653909051001e-05	0.00011168037077883	0.00025491733918421003	0.0	1.1502943184872199e-05	1.0274374139521199e-05	2.8566531451751097e-05	5.59089446147688e-05	4.58794166585103e-06	1.20279336731626e-05	2.9126326704181397e-05	4.8795395769182396e-05	2.7191257581351997e-05	2.5863203431590698e-05
Candidatus Bipolaricaulota	2.6107820075347198e-05	1.74103151142676e-05	0.0	0.00018243285615739	2.00752823086575e-05	8.365776861725211e-06	7.25249939260318e-06	1.9044354301167397e-05	4.16843237503918e-05	1.52931388861701e-06	6.6153635202394e-06	0.0	4.17958498332522e-05	1.8604544660925e-05	1.2170919261925e-05
Candidatus Blackallbacteria	0.0	3.10898484183351e-06	1.39600463473539e-05	3.0948430955272196e-05	0.0	7.32005475400956e-06	1.81312484815079e-06	1.0387829618818598e-05	4.39107861465552e-05	1.52931388861701e-06	3.6083801019487703e-06	0.0	1.98907960049815e-05	8.58671292042693e-06	4.56409472322189e-06
candidate division CPR2	2.6107820075347197e-06	1.2435939367334e-06	0.0	8.062880696241959e-05	0.0	1.04572210771565e-06	6.04374949383598e-07	1.38504394917581e-05	5.665109874682329e-05	0.0	2.40558673463251e-06	5.8252653408362705e-06	2.1804340937106302e-05	2.86223764014231e-06	3.04272981548126e-06
Candidatus Fraserbacteria	2.8718602082881898e-05	6.83976665203371e-06	0.0	9.936075201429491e-05	1.67294019238812e-05	4.18288843086261e-06	3.62624969630159e-06	8.656524682348829e-06	5.3249558974907e-05	9.17588333170206e-06	2.40558673463251e-06	0.0	4.627757349007079e-05	2.14667823010673e-05	7.60682453870314e-06
Candidatus Fischerbacteria	7.83234602260415e-06	5.59617271530031e-06	0.0	2.7690701381033003e-05	0.0	4.18288843086261e-06	1.0274374139521199e-05	1.0387829618818598e-05	3.0490165591903804e-05	0.0	6.01396683658128e-06	0.0	1.88333106477546e-05	4.2933564602134695e-06	2.28204736161094e-06
Candidatus Sumerlaeota	5.22156401506943e-06	9.326954525500521e-06	0.0	0.0001457833984472	0.0	5.22861053857826e-06	5.439374544452381e-06	1.38504394917581e-05	3.46338594958745e-05	6.11725555446804e-06	5.41257015292315e-06	0.0	4.53711574695906e-05	8.58671292042693e-06	1.06495543541844e-05
candidate division WOR-3	7.83234602260415e-06	1.2435939367334e-06	0.0	2.11752422325547e-05	0.0	0.0	1.2087498987671998e-06	6.059567277644181e-06	2.35015475150577e-05	1.52931388861701e-06	0.0	0.0	1.17834082662422e-05	2.86223764014231e-06	4.56409472322189e-06
Candidatus Wirthbacteria	2.6107820075347197e-06	6.83976665203371e-06	0.0	9.447415765293609e-05	0.0	0.0	1.2087498987671998e-06	7.79087221411394e-06	3.10467811909446e-05	1.52931388861701e-06	1.80419005097438e-06	2.3301061363345103e-05	2.5480361464609197e-05	7.15559410035578e-06	3.04272981548126e-06
Candidatus Abawacabacteria	5.22156401506943e-06	5.59617271530031e-06	0.0	4.15360520715495e-05	0.0	4.18288843086261e-06	3.62624969630159e-06	1.38504394917581e-05	3.71695527803939e-05	0.0	3.00698341829064e-06	0.0	1.6214775477478602e-05	1.43111882007116e-06	4.56409472322189e-06
Candidatus Absconditabacteria	1.0443128030138901e-05	0.0	0.0	6.84123210590227e-05	0.0	7.32005475400956e-06	1.2087498987671998e-06	2.16413117058721e-05	3.1665242967656705e-05	6.11725555446804e-06	7.81815688755566e-06	0.0	1.39487354262781e-05	0.0	8.36750699257346e-06
candidate division CPR3	7.83234602260415e-06	0.0	0.0	2.0360809838994897e-05	6.69176076955249e-06	1.04572210771565e-06	0.0	2.59695740470465e-06	3.48812442065593e-05	0.0	1.20279336731626e-06	0.0	8.76202153130829e-06	0.0	0.0
Candidatus Delongbacteria	0.0	1.2435939367334e-06	0.0	1.3030918296956699e-05	0.0	1.04572210771565e-06	3.62624969630159e-06	1.73130493646977e-05	1.3173235843966499e-05	0.0	2.40558673463251e-06	2.3301061363345103e-05	5.89170413312109e-06	0.0	1.52136490774063e-06
Candidatus Calescamantes	0.0	0.0	0.0	1.62886478711959e-06	3.34588038477624e-06	1.04572210771565e-06	0.0	8.65652468234883e-07	6.9886180768461e-06	0.0	1.20279336731626e-06	0.0	2.7595332179062898e-05	0.0	7.60682453870314e-07
Planctomycetota	0.0049709289423461	0.00432273252408531	0.00464869543366884	0.0329918418307137	0.0026633207862818897	0.0036265642695578796	0.00330351347333075	0.00821590757601727	0.013033772713318001	0.00177400411079573	0.00528567545267128	0.0023941840550837103	0.0343061342560246	0.00469406972983339	0.007356560011379809
Candidatus Omnitrophica	0.0010965284431645802	0.00036188583558942	0.00015356050982089	0.0130048564603628	0.00022082810539522999	0.00027920780276007	0.0002060918577398	0.00085007072380665	0.0409715465527312	0.00015446070275031002	0.00031332767218588	0.00032038959374599	0.014300122703551	0.00035491746737764	0.00053095635280147
Verrucomicrobiota	0.0013236664778201	0.0029914652148122	0.00333645107701758	0.00465610999398134	0.00118109577582601	0.0021782391503717	0.00262782227991988	0.00449619892001198	0.0072676061843209095	0.00066066359988254	0.00293601860961898	0.00188738597043095	0.0064131451271251	0.00249300898456395	0.00423547990314991
Lentisphaerota	0.00038639573711513	0.00024187902069463998	0.00012564041712618	0.003330214057266	0.00013383521539105	0.00014012676243389	0.00013779748845946002	0.00036876795146806004	0.00082224493213866	0.00014069687775276	0.00016538408800598	6.99031840900353e-05	0.00076295050701639	0.00033058844743642996	0.00029134137983233
Chlamydiota	4.43832941280902e-05	2.86026605448682e-05	0.00041880139042061	0.00035590695598563	3.34588038477624e-06	4.4966050631773e-05	3.20318723173307e-05	0.00013331048010817	0.0005961353065727401	7.64656944308505e-06	5.713268494752211e-05	4.6602122726690205e-05	0.00031633919114757	1.71734258408539e-05	9.508530673378929e-05
