#OTU ID	mgm4612269	mgm4624935	mgm4624936	mgm4624937	mgm4624938	mgm4624939	mgm4624940	mgm4624941	mgm4624942	mgm4624943	mgm4625757	mgm4625759	mgm4625760	mgm4625761	mgm4625762	mgm4625763	mgm4625764	mgm4625765	mgm4625766
Candidatus.Vogelbacteria	3.70189845692533e-05	1.38207926915648e-05	2.6467472468866e-06	0.0	0.0	6.5951604712462e-06	0.0	0.0	2.99463959512473e-05	2.05850688261776e-06	2.19997316032744e-06	2.6467472468866e-06	4.52722218701049e-06	1.42446760523254e-05	6.5951604712462e-06	2.61379738692141e-06	1.1827702630051e-05	2.59473084300952e-05	8.63216913785887e-07
Candidatus.Spechtbacteria	2.15944076653977e-05	4.49175762475857e-05	4.63180768205155e-06	9.84639621898385e-06	4.63951006773685e-05	6.5951604712462e-06	0.0	0.0	9.98213198374909e-06	4.11701376523552e-06	8.79989264130978e-06	4.63180768205155e-06	1.50907406233683e-06	7.12233802616272e-06	6.5951604712462e-06	2.94052206028658e-06	5.37622846820499e-06	7.41351669431291e-06	6.47412685339415e-07
Candidatus.Brennerbacteria	6.16983076154221e-06	3.45519817289121e-06	6.61686811721649e-07	0.0	4.63951006773685e-05	0.0	0.0	0.0	0.0	0.0	2.19997316032744e-06	6.61686811721649e-07	3.01814812467366e-06	2.37411267538757e-06	0.0	0.0	1.075245693641e-06	0.0	1.07902114223236e-07
Candidatus.Andersenbacteria	3.08491538077111e-06	6.91039634578241e-06	1.98506043516495e-06	0.0	4.63951006773685e-05	6.5951604712462e-06	1.31178507713296e-05	2.518955137409e-05	9.98213198374909e-06	2.05850688261776e-06	0.0	1.98506043516495e-06	0.0	2.37411267538757e-06	6.5951604712462e-06	5.55431944720799e-06	1.5053439710974e-05	1.29736542150476e-05	2.05014017024148e-06
Candidatus.Jacksonbacteria	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.19997316032744e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Candidatus.Parcubacteria	1.85094922846266e-05	3.45519817289121e-06	1.98506043516495e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.59991948098233e-06	1.98506043516495e-06	7.54537031168416e-06	1.89929014031006e-05	0.0	1.63362336682588e-06	1.82791767918969e-05	0.0	1.40272748490207e-06
Candidatus.Veblenbacteria	3.08491538077111e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Candidatus.Woesebacteria	0.0002036044151308	0.0002556846647939	3.57310878329691e-05	0.0002461599054745	0.0002319755033868	0.0001428951435436	9.18249553993074e-05	0.0001763268596186	0.0002994639595124	2.05850688261776e-05	0.0001319983896196	3.57310878329691e-05	0.0001222349990492	0.0001804325633294	0.0001428951435436	4.67216282912202e-05	9.67721124276897e-05	0.0001686575047956	1.23008410214489e-05
Candidatus.Gottesmanbacteria	0.0002097742458924	0.0001969462958547	3.63927746446907e-05	0.0001673887357227	0.0001391853020321	5.49596705937183e-05	5.24714030853185e-05	0.0001259477568704	4.99106599187454e-05	1.64680550609421e-05	0.0001033987385353	3.63927746446907e-05	9.20535178025467e-05	9.4964507015503e-05	5.49596705937183e-05	2.35241764822927e-05	6.98909700866648e-05	2.78006876036734e-05	7.76895222407298e-06
Candidatus.Roizmanbacteria	0.0005460300223964	0.0004284445734385	7.08004888542165e-05	0.0003446238676644	0.0004639510067736	0.0002088467482561	0.0001508552838702	0.0002267059623668	0.0004491959392687	5.35211789480618e-05	0.0002529969134376	7.08004888542165e-05	0.0002127794427894	0.000337123999905	0.0002088467482561	0.0001009579240698	0.0002494570009247	0.0002835670135574	2.91335708402737e-05
Candidatus.Levybacteria	0.0003640200149309	0.0002487742684481	3.10992801509175e-05	0.0002560063016935	0.0004175559060963	9.8927407068693e-05	0.0001246195823276	0.0002015164109927	0.0003294103554637	1.85265619435599e-05	0.000101198765375	3.10992801509175e-05	0.0001177077768622	0.0002112960281094	9.8927407068693e-05	6.27311372861138e-05	9.46216210404077e-05	0.0002520595676066	1.39193727347974e-05
Candidatus.Daviesbacteria	0.0002498781458424	0.0001658495122987	2.11739779750928e-05	0.0001181567546278	9.27902013547369e-05	6.5951604712462e-05	6.55892538566481e-05	5.03791027481801e-05	7.98570558699927e-05	1.64680550609421e-05	7.47990874511331e-05	2.11739779750928e-05	5.13085181194523e-05	0.0001092091830678	6.5951604712462e-05	1.89500310551802e-05	5.59127760693318e-05	5.7454754380925e-05	7.87685433829622e-06
Candidatus.Curtissbacteria	7.09530537577354e-05	8.98351524951714e-05	1.1248675799268e-05	4.92319810949193e-05	9.27902013547369e-05	2.41822550612361e-05	1.31178507713296e-05	2.518955137409e-05	3.99285279349964e-05	4.11701376523552e-06	3.51995705652391e-05	1.1248675799268e-05	2.7163333122063e-05	4.03599154815888e-05	2.41822550612361e-05	6.53449346730352e-06	1.82791767918969e-05	1.29736542150476e-05	2.58965074135766e-06
Candidatus.Shapirobacteria	0.0001018022075654	8.98351524951714e-05	1.65421702930412e-05	6.8924773532887e-05	0.0001391853020321	3.95709628274772e-05	6.55892538566481e-06	2.518955137409e-05	3.99285279349964e-05	6.17552064785329e-06	4.39994632065489e-05	1.65421702930412e-05	3.77268515584208e-05	6.41010422354645e-05	3.95709628274772e-05	8.82156618085975e-06	6.23642502311778e-05	4.0774341818721e-05	5.93461628227797e-06
Candidatus.Beckwithbacteria	3.39340691884822e-05	5.18279725933681e-05	1.19103626109897e-05	3.93855848759354e-05	4.63951006773685e-05	2.41822550612361e-05	6.55892538566481e-06	0.0001763268596186	3.99285279349964e-05	6.17552064785329e-06	3.29995974049117e-05	1.19103626109897e-05	1.96179628103788e-05	6.88492675862396e-05	2.41822550612361e-05	5.88104412057317e-06	6.02137588438958e-05	1.6680412562204e-05	2.48174862713443e-06
Candidatus.Amesbacteria	1.54245769038555e-05	1.7275990864456e-05	4.63180768205155e-06	1.96927924379677e-05	0.0	6.5951604712462e-06	0.0	0.0	0.0	4.11701376523552e-06	1.75997852826196e-05	4.63180768205155e-06	9.05444437402099e-06	1.18705633769379e-05	6.5951604712462e-06	2.94052206028658e-06	7.52671985548698e-06	7.41351669431291e-06	9.71119028009123e-07
Candidatus.Chisholmbacteria	6.16983076154221e-06	2.41863872102384e-05	7.27855492893814e-06	0.0	4.63951006773685e-05	1.09919341187437e-05	6.55892538566481e-06	0.0	2.99463959512473e-05	0.0	1.75997852826196e-05	7.27855492893814e-06	6.03629624934733e-06	1.18705633769379e-05	1.09919341187437e-05	3.59397140701694e-06	1.1827702630051e-05	1.48270333886258e-05	5.39510571116179e-07
Candidatus.Collierbacteria	3.08491538077111e-05	1.38207926915648e-05	5.2934944937732e-06	1.96927924379677e-05	0.0	4.39677364749747e-06	0.0	2.518955137409e-05	1.99642639674982e-05	0.0	1.31998389619647e-05	5.2934944937732e-06	1.35816665610315e-05	1.89929014031006e-05	4.39677364749747e-06	3.59397140701694e-06	7.52671985548698e-06	1.6680412562204e-05	5.39510571116179e-07
