source,target,type,weight,a,b,c,signal
16,87,Undirected,-0.00260000,2,8,51,neg
16,88,Undirected,-0.00440000,1,2,58,neg
16,89,Undirected,0.00090000,1,8,52,pos
16,90,Undirected,0.00150000,3,27,31,pos
16,91,Undirected,-0.00610000,2,22,37,neg
16,92,Undirected,-0.00330000,1,6,54,neg
16,93,Undirected,0.00300000,1,6,54,pos
16,94,Undirected,-0.00600000,3,10,48,neg
16,95,Undirected,-0.00210000,3,22,36,neg
16,96,Undirected,0.00190000,3,58,0,pos
16,97,Undirected,-0.00150000,3,36,22,neg
16,98,Undirected,-0.00330000,1,12,48,neg
16,99,Undirected,-0.00060000,3,22,36,neg
16,100,Undirected,-0.00490000,1,2,58,neg
16,101,Undirected,-0.00120000,1,28,32,neg
16,102,Undirected,0.00120000,3,5,53,pos
16,103,Undirected,-0.00540000,2,12,47,neg
16,104,Undirected,-0.00560000,0,4,57,neg
16,105,Undirected,0.00190000,2,4,55,pos
16,106,Undirected,0.00300000,0,4,57,pos
17,18,Undirected,0.00280000,0,3,58,pos
17,19,Undirected,0.00340000,0,7,54,pos
17,20,Undirected,-0.00140000,0,2,59,neg
17,21,Undirected,0.00010000,0,2,59,pos
17,22,Undirected,-0.00470000,0,3,58,neg
17,23,Undirected,-0.00670000,1,8,52,neg
17,24,Undirected,-0.00270000,0,5,56,neg
17,25,Undirected,0.00430000,0,3,58,pos
17,26,Undirected,0.00230000,0,2,59,pos
17,27,Undirected,-0.00220000,0,3,58,neg
17,28,Undirected,-0.00650000,0,2,59,neg
17,29,Undirected,0.00140000,0,3,58,pos
17,30,Undirected,0.00110000,0,4,57,pos
17,31,Undirected,-0.00210000,0,6,55,neg
17,32,Undirected,-0.00010000,0,2,59,neg
17,33,Undirected,0.00130000,0,2,59,pos
17,34,Undirected,-0.00190000,0,2,59,neg
17,35,Undirected,0.00120000,0,5,56,pos
17,36,Undirected,0.00010000,0,3,58,pos
17,37,Undirected,-0.00200000,0,2,59,neg
17,38,Undirected,0.00070000,0,7,54,pos
17,39,Undirected,-0.00560000,0,3,58,neg
17,40,Undirected,-0.00430000,0,3,58,neg
17,41,Undirected,-0.00240000,0,8,53,neg
17,42,Undirected,0.00080000,0,3,58,pos
17,43,Undirected,-0.00180000,0,10,51,neg
17,44,Undirected,-0.00290000,0,3,58,neg
17,45,Undirected,0.00060000,0,3,58,pos
17,46,Undirected,-0.00180000,0,6,55,neg
17,47,Undirected,0.00040000,0,2,59,pos
17,48,Undirected,0.00040000,0,2,59,pos
17,49,Undirected,-0.00060000,0,6,55,neg
17,50,Undirected,-0.00550000,0,6,55,neg
17,51,Undirected,0.00110000,0,8,53,pos
17,52,Undirected,-0.00100000,1,7,53,neg
17,53,Undirected,-0.00530000,0,2,59,neg
17,54,Undirected,-0.00020000,0,3,58,neg
17,55,Undirected,-0.00150000,0,8,53,neg
17,56,Undirected,0.00330000,0,3,58,pos
17,57,Undirected,-0.00530000,0,2,59,neg
17,58,Undirected,-0.00130000,1,13,47,neg
17,59,Undirected,0.00390000,0,9,52,pos
17,60,Undirected,0.00030000,0,3,58,pos
17,61,Undirected,0.00050000,0,24,37,pos
17,62,Undirected,-0.00320000,0,5,56,neg
17,63,Undirected,-0.00590000,0,4,57,neg
17,64,Undirected,-0.00110000,0,2,59,neg
17,65,Undirected,-0.00300000,0,3,58,neg
17,66,Undirected,-0.00320000,0,3,58,neg
17,67,Undirected,-0.00320000,0,2,59,neg
17,68,Undirected,-0.00260000,0,6,55,neg
17,69,Undirected,0.00160000,0,2,59,pos
17,70,Undirected,-0.00200000,0,8,53,neg
17,71,Undirected,-0.00470000,0,2,59,neg
17,72,Undirected,0.00200000,0,2,59,pos
17,73,Undirected,0.00430000,0,4,57,pos
17,74,Undirected,0.00180000,0,3,58,pos
17,75,Undirected,-0.00100000,0,11,50,neg
17,76,Undirected,0.00160000,0,9,52,pos
17,77,Undirected,0.00090000,0,24,37,pos
17,78,Undirected,-0.00180000,0,3,58,neg
17,79,Undirected,-0.00640000,1,38,22,neg
17,80,Undirected,0.00340000,0,6,55,pos
17,81,Undirected,-0.00020000,0,18,43,neg
17,82,Undirected,-0.00090000,0,15,46,neg
17,83,Undirected,-0.00460000,0,37,24,neg
17,84,Undirected,-0.00250000,0,2,59,neg
17,85,Undirected,0.00230000,1,34,26,pos
17,86,Undirected,-0.00370000,1,14,46,neg
17,87,Undirected,-0.00210000,0,10,51,neg
17,88,Undirected,0.00030000,0,2,59,pos
17,89,Undirected,-0.00320000,0,8,53,neg
17,90,Undirected,-0.00070000,1,29,31,neg
17,91,Undirected,0.00160000,1,22,38,pos
17,92,Undirected,-0.00220000,0,6,55,neg
17,93,Undirected,-0.00000000,0,6,55,pos
17,94,Undirected,-0.00270000,1,12,48,neg
17,95,Undirected,0.00420000,0,26,35,pos
17,96,Undirected,-0.00260000,1,60,0,neg
17,97,Undirected,-0.00300000,1,38,22,neg
17,98,Undirected,-0.00750000,0,12,49,neg
17,99,Undirected,0.00140000,1,24,36,pos
