#OTU ID	mgm4577669	mgm4577670	mgm4577671	mgm4577672	mgm4578714	mgm4578924	mgm4578925	mgm4578926	mgm4578927	mgm4698609	mgm4698612	mgm4698610	mgm4698611	mgm4670120	mgm4670123	mgm4670118	mgm4670121	mgm4670116	mgm4670122	mgm4670117	mgm4670119
Candidatus Saccharibacteria	6.13658952462252e-05	0.0001587712151513	0.0001853072544713	0.0002191074146365	0.0002187755053935	4.18193177368399e-05	6.50283144119002e-05	0.0001540033977431	0.0001887846064679	0.0001292373702779	0.000157918225823	8.83450758663339e-05	5.96729920038191e-05	4.83702199479634e-05	3.97392830533758e-05	0.0001314220225803	6.63703710758518e-05	9.39871865480268e-05	6.70020255313333e-05	0.0001543004343151	0.0001469022523854
Candidatus Eisenbacteria	0.0002476552201008	0.0004211536927724	0.0003193302134247	0.0004312810503288	0.0002909640559947	0.000212898344842	0.000224347684721	0.0003964033645944	0.0004013878315088	0.0010338989622239	0.0011191596003982	0.0005963292620977	0.0006696635769317	0.0001944334661803	0.0001989234968843	0.0002979302468163	0.0002422667356759	0.0002699946646472	0.0002495324605336	0.0004311130931691	0.0004339643728326
Candidatus Desantisbacteria	3.06829476231126e-05	2.16167382131008e-05	1.91461369933454e-05	2.9815249460032e-05	2.20985358983349e-05	2.02760328421042e-05	2.81789362451567e-05	2.27897404731979e-05	2.99938159808816e-05	1.2923737027799e-05	2.05980294551821e-05	1.10431344832917e-05	5.30426595589503e-05	1.3336209438607e-05	1.32842746206999e-05	2.70708193807709e-05	2.75303108722704e-05	1.70763557819734e-05	2.03677253691595e-05	4.50139612889214e-05	3.71852711184247e-05
Candidatus Edwardsbacteria	4.05453236448273e-05	3.27978097026357e-05	3.28219491314492e-05	3.95225399819028e-05	2.57816252147241e-05	2.53450410526302e-05	3.79331834069418e-05	3.31487134155606e-05	3.26403291556653e-05	6.46186851389948e-05	2.05980294551821e-05	5.52156724164587e-05	3.31516622243439e-05	2.73074764695286e-05	2.64550084326759e-05	3.70522388172562e-05	3.66078728355595e-05	3.72452799339105e-05	3.76190774577918e-05	5.05826987679632e-05	4.16801940008716e-05
Candidatus Lindowbacteria	9.20488428693378e-05	8.57215480864341e-05	8.88927788976748e-05	0.0001019265504796	7.66082577808945e-05	9.12421477894689e-05	7.69501720540819e-05	8.70153727158465e-05	8.99814479426448e-05	0.0001033898962223	9.61241374575166e-05	5.52156724164587e-05	9.2824654228163e-05	6.1388900590413e-05	6.14255775196465e-05	8.72618032553341e-05	8.24421201256096e-05	7.2339207958281e-05	7.75754348759789e-05	0.0001132309954071	9.86839887373578e-05
Candidatus Ratteibacteria	5.47909778984153e-06	3.72702382984496e-06	6.15411546214672e-06	8.32053473303218e-06	3.68308931638916e-06	8.87076436842059e-06	3.25141572059501e-06	5.52478556926009e-06	6.17519740782856e-06	0.0	6.86600981839404e-06	0.0	6.63033244486879e-06	2.54023036925847e-06	3.29268345299399e-06	5.59564422954482e-06	5.20843719205115e-06	4.43716331342616e-06	4.78585896652381e-06	9.74529058832319e-06	7.76395770604471e-06
Candidatus Dadabacteria	3.28745867390492e-05	2.75799763408527e-05	3.00867867038284e-05	2.35748484102578e-05	2.50450073514463e-05	4.18193177368399e-05	3.90169886471401e-05	3.03863206309305e-05	2.99938159808816e-05	5.16949481111958e-05	2.05980294551821e-05	4.41725379331669e-05	3.31516622243439e-05	1.78874555168617e-05	2.03238047615836e-05	2.49535485912134e-05	3.08041856787025e-05	2.3933789993632e-05	2.2927603421021e-05	3.43405477874246e-05	2.79911106770559e-05
Candidatus Firestonebacteria	1.09581955796831e-05	1.78897143832558e-05	1.16244403173882e-05	1.24808020995483e-05	1.25225036757231e-05	1.01380164210521e-05	1.51732733627767e-05	1.65743567077803e-05	1.41147369321796e-05	2.58474740555979e-05	2.74640392735762e-05	0.0	1.98909973346064e-05	7.3031623116181e-06	9.31034631536232e-06	1.79968017112387e-05	1.20538117873184e-05	1.0353381064661e-05	9.68301697878073e-06	2.62194722971553e-05	1.73667475003632e-05
Candidatus Raymondbacteria	2.62996693912394e-05	1.34172857874419e-05	1.84623463864402e-05	1.31741799939676e-05	1.62055929921123e-05	1.64742766842097e-05	2.05922995637684e-05	2.00273476885678e-05	1.85255922234857e-05	1.2923737027799e-05	2.05980294551821e-05	2.20862689665835e-05	6.63033244486879e-06	7.3031623116181e-06	9.65096874153411e-06	1.75431008277621e-05	1.39883741729374e-05	1.2504732974201e-05	1.23541940763754e-05	2.50593186556882e-05	2.12487263533855e-05
Candidatus Riflebacteria	3.06829476231126e-05	2.68345715748837e-05	2.32488806347765e-05	2.56549820935159e-05	1.69422108553901e-05	5.32245862105235e-05	4.66036253285285e-05	2.55521332578279e-05	1.76434211652245e-05	0.0002584747405559	0.0002609083730989	1.10431344832917e-05	1.32606648897376e-05	2.02160000220153e-05	2.50925187279887e-05	3.35738653772689e-05	3.34828105203288e-05	2.52783849370945e-05	3.3834909902866e-05	3.50366399723048e-05	3.53464390301509e-05
