#OTU ID	mgm4454167	mgm4454183	mgm4623131	mgm4623132	mgm4623133	mgm4685222	mgm4685223	mgm4685224
Candidatus.Curtissbacteria	0.0	0.0	2.68807913704979e-05	5.88584368912762e-05	6.30927939122134e-05	1.66766243032071e-05	2.13463939109838e-05	4.78979964268095e-06
Candidatus.Shapirobacteria	0.0002942907592701	3.5246845407336e-05	6.9602049084325e-06	1.56459136040101e-05	2.26391789920295e-05	1.184282015735e-05	1.28078363465903e-05	1.07770491960321e-05
Candidatus.Beckwithbacteria	0.0	3.5246845407336e-05	7.68022610585656e-06	9.31304381191079e-06	1.8927838173664e-05	2.90028248751428e-06	4.26927878219677e-06	3.59234973201071e-06
Candidatus.Amesbacteria	0.0	0.0	2.01605935278735e-05	3.38994794753553e-05	3.93402126746743e-05	1.45014124375714e-06	4.26927878219677e-06	8.38214937469166e-06
Candidatus.Chisholmbacteria	0.0	0.0	2.40007065808017e-07	7.45043504952863e-07	3.7113408183655e-07	1.20845103646429e-06	0.0	2.39489982134047e-06
Candidatus.Collierbacteria	0.0	0.0	2.40007065808017e-07	2.23513051485859e-06	1.85567040918275e-06	2.65859228022143e-06	0.0	1.19744991067024e-06
Candidatus.Woykebacteria	0.0	8.22426392837841e-05	1.00802967639367e-05	2.08612181386802e-05	1.29896928642792e-05	1.13594397427643e-05	2.39079611803019e-05	1.55668488387131e-05
Candidatus.Pacebacteria	0.0	0.0	8.40024730328061e-06	2.4213913910968e-05	4.60206261477322e-05	8.45915725524999e-06	7.68470180795418e-06	1.31719490173726e-05
Candidatus.Blackburnbacteria	0.0	0.0	1.60804734091372e-05	1.34107830891515e-05	4.82474306387514e-06	5.07549435315e-06	2.56156726931806e-06	2.39489982134047e-06
Candidatus.Microgenomates	0.0	0.0	2.40007065808017e-07	3.72521752476431e-07	0.0	0.0	0.0	2.39489982134047e-06
Candidatus.Gracilibacteria	0.0	0.0	1.92005652646414e-05	3.24093924654495e-05	2.37525812375392e-05	2.90028248751428e-06	2.56156726931806e-06	3.59234973201071e-06
candidate.division.NC10	0.0	5.87447423455601e-05	1.20003532904009e-06	2.98017401981145e-06	5.19587714571169e-06	8.70084746254285e-06	1.79309708852264e-05	1.43693989280428e-05
Candidatus.Rokubacteria	0.0002942907592701	0.0002232300209131	8.64025436908863e-06	2.57040009208738e-05	3.41443355289626e-05	8.21746704795714e-06	1.79309708852264e-05	2.63438980347452e-05
Candidatus.Handelsmanbacteria	0.0	7.04936908146721e-05	2.64007772388819e-06	3.35269577228788e-06	1.4845363273462e-06	1.93352165834286e-06	8.53855756439353e-07	0.0
Candidatus.Schekmanbacteria	0.0	0.0001174894846911	6.8642020821093e-05	0.0001985540940699	0.0002445773599302	1.37763418156928e-05	8.53855756439353e-06	5.98724955335118e-06
Candidatus.Aminicenantes	0.0002942907592701	0.0002232300209131	8.88026143489664e-06	2.12337398911566e-05	1.29896928642792e-05	5.07549435315e-06	4.26927878219677e-06	7.18469946402142e-06
Candidatus.Glassbacteria	0.0	0.0	2.40007065808017e-07	1.49008700990573e-06	1.85567040918275e-06	5.80056497502857e-06	6.83084605151483e-06	2.39489982134047e-06
