#OTU ID	ERR2191545	ERR2191546	SRR3546449	SRR3546450	SRR3546451	SRR3546453	SRR3546454	SRR3546455	SRR3546457	SRR7193715
Candidatus.Parcubacteria	5.21695870505903e-05	2.22290282181924e-06	6.31480042047177e-06	2.82996341135666e-06	2.46263402505218e-05	1.16216517630157e-06	3.18117566219536e-06	6.74587181350851e-06	7.51602395134528e-06	7.08241399286697e-07
Candidatus.Veblenbacteria	2.23703189272931e-05	1.15475471263337e-07	0.0	4.63928428091256e-08	0.0	0.0	2.44705820168874e-07	4.78430625071525e-08	1.05859492272469e-07	1.36200269093596e-07
Candidatus.Woesebacteria	0.0018262694321277	0.0013584823128097	0.0001309407789666	4.06865231436032e-05	0.0001127554342931	4.42963726813408e-05	0.0002340611169915	4.96610988824243e-05	0.0009324104079359	1.33476263711724e-05
Candidatus.Gottesmanbacteria	0.0011866285592179	0.0001567002145043	5.85032336475112e-05	0.0001672925911697	0.0001511476220432	0.00012761467609	0.0001033882090213	6.78893056976494e-05	0.000216429731951	9.67021910564529e-06
Candidatus.Roizmanbacteria	0.0026636539077942	0.0003561840911117	0.0002112065892698	0.0002395262474235	0.0002506214346282	0.0001724474326989	0.0003372046201927	0.0001011880772026	0.0007350353845938	1.26393849718857e-05
Candidatus.Levybacteria	0.0011558276350232	0.0001617522663721	0.0002944993287001	0.0001707720543803	0.0001534995758873	0.0001574286827282	7.279998150024e-05	7.51136081362295e-05	0.0005036794642324	3.40500672733989e-06
Candidatus.Daviesbacteria	0.0005566703616646	6.75820195568681e-05	0.0001650720142971	0.0001188120704341	0.0001327470419684	0.0001281063613569	8.19764497565728e-05	5.39669745080681e-05	0.0002462821087718	4.52184893390738e-06
Candidatus.Curtissbacteria	0.0003281258347133	5.29455035742401e-05	2.16581997892214e-05	1.55416023410571e-05	3.5971058792897e-05	5.81082588150787e-06	3.92752841371043e-05	1.51662508147674e-05	0.0001199388047447	2.26092446695369e-06
Candidatus.Shapirobacteria	0.0008403059725412	0.0003123611497673	5.44325358558021e-05	4.59753072238435e-05	4.69007266568927e-05	5.64991070325073e-05	0.0001865881878787	2.53568231287908e-05	0.0002427887455269	4.65804920300097e-06
Candidatus.Beckwithbacteria	0.0007433122762968	0.0003124188875029	4.96833884321415e-05	8.16977961868702e-05	7.00052144200227e-05	8.50615511731499e-05	5.76282206497698e-05	3.25332825048637e-05	3.46689837192335e-05	2.12200019247822e-05
Candidatus.Amesbacteria	0.0001503318820449	8.81077845739263e-05	6.57574258660697e-06	7.19089063541447e-06	2.49722158158381e-05	3.39709820765076e-06	1.15011735479371e-05	6.88940100102997e-06	3.59922273726394e-06	1.00788199129261e-06
Candidatus.Chisholmbacteria	0.0001014176772263	4.56705488846499e-05	2.24410262876269e-06	3.10832046821142e-06	5.74153438425087e-06	6.70479909404755e-07	2.93646984202649e-06	1.19607656267881e-06	8.52168912793374e-06	1.82508360585418e-06
Candidatus.Collierbacteria	0.0004312129387253	6.70046422005514e-05	2.34847949521677e-05	1.86035299664594e-05	2.09600592581689e-05	3.09761718144997e-05	0.000152207020145	1.30133130019455e-05	2.13306876929025e-05	8.17201614561574e-07
Candidatus.Woykebacteria	0.0001416508627597	2.33837829308258e-05	1.48737034697062e-05	3.68359171904457e-05	2.38654140068259e-05	1.52422432738014e-05	2.80188164093361e-05	1.6314484314939e-05	1.20679821190614e-05	4.08600807280787e-06
Candidatus.Pacebacteria	0.0007403073080826	3.68655442008204e-05	3.27221476333537e-05	0.0001434466699658	4.98060814055498e-05	0.0001097799104998	2.74070518589139e-05	2.18642795657687e-05	0.0001362411665546	5.82937151720589e-06
Candidatus.Blackburnbacteria	0.0004509121747956	4.75470252926791e-05	1.9831604626275e-06	1.25260675584639e-06	1.59102760045506e-06	5.36383927523804e-07	1.95764656135099e-06	2.39215312535763e-07	3.75801197567264e-06	5.44801076374383e-07
Candidatus.Microgenomates	0.000217192424809	7.0728726148794e-06	1.30471083067599e-06	1.9948922407924e-06	1.59102760045506e-06	7.59877230658722e-07	8.9317624361639e-06	7.65489000114441e-07	6.56328852089306e-06	2.45160484368472e-07
Candidatus.Gracilibacteria	2.48744591057215e-05	3.72408394824262e-06	3.07911756039533e-06	3.89699879596655e-06	1.66712022482465e-05	1.60915178257141e-06	7.34117460506622e-06	7.84626225117302e-06	5.76934232884955e-06	1.55268306766699e-06
candidate.division.NC10	0.000152418665527	6.91120695511073e-05	0.0001514508332248	9.07444005346497e-05	0.000147619691277	4.59502231245392e-05	0.0001501270206736	0.0001040108178905	5.3511973343733e-05	4.71525331602028e-05
Candidatus.Rokubacteria	0.0004960701693466	0.0001428431579527	0.0001631410422677	0.000139503278327	0.000289774548622	0.000144868359092	0.000314569331827	0.0001807989332145	0.0001464566075589	0.000152353621008
Candidatus.Handelsmanbacteria	0.0001593467866873	2.48849640572492e-05	4.59258212397947e-05	2.68614559864837e-05	6.82066614803779e-05	3.15125557420235e-05	3.84188137665132e-05	2.67442719414983e-05	4.35082513239847e-05	1.93131981574719e-05
Candidatus.Schekmanbacteria	0.0001761245258827	2.75986376319376e-05	0.0004538306153423	1.9206636922978e-05	8.84057944948508e-05	0.0001085283480023	0.0003592281440079	2.49740786287336e-05	0.0001446569961903	6.53761291649259e-06
Candidatus.Aminicenantes	0.0006666021154976	5.78820799707478e-05	6.78449631951512e-05	6.72696220732321e-05	0.0001814463215649	4.14803570618408e-05	0.0004250540096333	8.47300637001671e-05	0.0002598321237827	7.60814703156825e-05
Candidatus.Glassbacteria	7.16184091030504e-05	9.90202166083116e-06	1.25252239744895e-05	1.63302806688122e-05	5.2503910815017e-05	4.29107142019043e-06	0.0002153411217486	1.77497761901536e-05	2.71529597678882e-05	7.38205458487288e-06
candidate.division.WWE3	0.0011350432715422	0.0001218554910506	0.0002347957610884	0.0001274411391966	0.0001280431342801	0.0001279275667144	0.0001042446793919	6.28657841343984e-05	0.0003836877297415	1.57447511072197e-05
Candidatus.Peregrinibacteria	0.0023477983599551	7.79748119705684e-05	0.0002401711697108	0.0003155177239448	0.0006636660347289	0.0002222417406373	0.0005122916345235	0.0003277728212365	0.0002656014661116	1.20128637340551e-05
Candidatus.Doudnabacteria	0.0004274567284577	4.26681866318031e-05	1.87878359617342e-05	7.01459783273979e-05	3.25123031397339e-05	4.9302622671563e-05	0.0001689693688266	1.6314484314939e-05	1.76785352095023e-05	7.92685566124727e-06
