#OTU ID	mgm4575366	mgm4575367	mgm4575368	mgm4575369	mgm4575370	mgm4575371	mgm4575372	mgm4575373	mgm4575374	mgm4575375	mgm4575376	mgm4575377	mgm4575355	mgm4575356	mgm4575357	mgm4575358	mgm4575359	mgm4575360	mgm4575361	mgm4575362	mgm4575363	mgm4575364	mgm4575365	mgm4726046	mgm4726047	mgm4569549	mgm4569551	mgm4569550
Candidatus Lindowbacteria	0.0	9.53948152917889e-06	0.0	0.0	0.0	5.54815801154017e-06	0.0	0.0	5.79510255882754e-06	0.0	0.0	1.92200503565319e-05	0.0001621008267142	0.0001317957166392	0.0	0.0	2.00272370423776e-05	6.91553367173345e-05	0.0001092214073958	3.57506747939867e-05	2.0033255203638e-05	0.0	1.93971369825814e-05	0.0	0.0	2.52325408021654e-05	3.88286599954648e-06	1.08520360827487e-06
Candidatus Ratteibacteria	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.38310673434669e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.2938673456514e-06	5.79443079932321e-06	3.39126127585896e-06
Candidatus Dadabacteria	0.0	9.53948152917889e-06	0.0	3.99760143913652e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0003242016534284	0.000384404173531	0.0007727975270479	0.0	2.00272370423776e-05	0.0001106485387477	0.0005149009205804	0.0005362601219098	6.00997656109141e-05	8.2815734989648e-05	1.93971369825814e-05	0.0	0.0	0.0	1.61288279981162e-06	2.84865947172153e-06
Candidatus Firestonebacteria	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.09829763866008e-05	0.0	0.0	2.00272370423776e-05	5.53242693738676e-05	0.0	1.78753373969934e-05	0.0	8.2815734989648e-05	0.0	0.0	0.0	0.0	7.3475771991418e-06	7.66425048344125e-06
Candidatus Raymondbacteria	0.0	4.76974076458944e-06	0.0	0.0	0.0	5.54815801154017e-06	0.0	0.0	2.89755127941377e-06	0.0	0.0	0.0	0.0	1.09829763866008e-05	0.0	0.0	0.0	4.14932020304007e-05	6.24122327976283e-05	3.57506747939867e-05	2.0033255203638e-05	8.2815734989648e-05	0.0	0.0	0.0	0.0	7.76573199909296e-06	4.58498524496132e-05
Candidatus Riflebacteria	0.0	4.76974076458944e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.40336089047387e-05	2.19659527732015e-05	0.0	0.0	0.0	1.38310673434669e-05	1.56030581994071e-05	0.0	2.0033255203638e-05	8.2815734989648e-05	3.87942739651627e-05	0.0	0.0	4.5877346913028e-06	3.52444759958834e-06	6.10427029654613e-07
Candidatus Wallbacteria	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.49148819330038e-05	0.0	0.0	2.00272370423776e-05	1.38310673434669e-05	0.0	1.78753373969934e-05	2.0033255203638e-05	0.0	1.93971369825814e-05	0.0	0.0	0.0	7.28784079914878e-06	3.23526325716945e-05
candidate division CPR1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.89755127941377e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.78753373969934e-05	0.0	8.2815734989648e-05	0.0	0.0	0.0	0.0	2.68813799968603e-06	0.0
Candidatus Coatesbacteria	0.0	0.0	0.0	3.99760143913652e-06	1.52781385116037e-05	5.54815801154017e-06	0.0	0.0	2.89755127941377e-06	0.0	0.0	0.0	0.0	1.09829763866008e-05	0.0	8.38785438684784e-05	0.0	6.91553367173345e-05	3.12061163988142e-05	1.78753373969934e-05	2.0033255203638e-05	0.0	3.87942739651627e-05	0.0	0.0	0.0	9.67729679886969e-06	5.08689191378844e-05
Candidatus Bipolaricaulota	0.0	1.43092222937683e-05	0.0	0.0	0.0	0.0	0.0	0.0	2.31804102353101e-05	0.0	0.0	0.0	5.40336089047387e-05	2.19659527732015e-05	0.0	0.0	0.0	4.14932020304007e-05	0.0	1.78753373969934e-05	4.00665104072761e-05	0.0	1.93971369825814e-05	0.0	0.0	0.0	2.03103759976278e-06	5.01906668827126e-06
