#OTU ID	mgm4612434	mgm4482714	mgm4483800	mgm4483883	mgm4483943	mgm4484670	mgm4484859	mgm4484865	mgm4486239	mgm4718316	mgm4718317	mgm4718318	mgm4718320	mgm4718322	mgm4718324	mgm4718325	mgm4718326	mgm4718328	mgm4718329	mgm4718330	mgm4718331	mgm4718332	mgm4718333	mgm4718334	mgm4718335	mgm4718336	mgm4718337	mgm4718338	mgm4718339	mgm4718340	mgm4718341	mgm4718342	mgm4718343	mgm4718344	mgm4718345	mgm4718346	mgm4718347	mgm4718348	mgm4718349	mgm4718350	mgm4718351	mgm4718353	mgm4718355	mgm4718356	mgm4718357	mgm4718358	mgm4718359	mgm4718360	mgm4718361	mgm4718362	mgm4718363	mgm4718364	mgm4578704	mgm4578705	mgm4578706
Candidatus Brennerbacteria	2.96972513708994e-06	0.0	6.32772145564851e-06	0.0	1.03248678365293e-06	4.66294594666429e-07	1.49794556765396e-06	0.0	0.0	0.0	0.0	0.0	0.0007230657989877	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Candidatus Andersenbacteria	2.14244456318631e-05	2.73911092205263e-05	4.67277892109429e-05	1.81545338679018e-05	1.25963387605657e-05	7.22756621732965e-06	2.74623354069893e-05	4.82068088440702e-05	2.2254718897774e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0005577244841048	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.23279893497036e-05	9.58258269768868e-06	0.0
Candidatus Jacksonbacteria	3.18184836116779e-06	7.02336133859648e-07	4.86747804280655e-07	2.06301521226157e-06	2.06497356730585e-07	1.16573648666607e-06	2.99589113530793e-06	2.85972594837704e-06	9.57192210656947e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.58258269768868e-06	1.70160631636265e-05
Candidatus Parcubacteria	8.69705218719196e-06	7.02336133859648e-07	2.92048682568393e-06	1.65041216980926e-06	2.47796828076702e-06	6.99441891999644e-07	4.49383670296189e-06	2.85972594837704e-06	1.19649026332118e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.03422470046041e-05	1.91651653953774e-05	1.70160631636265e-05
Candidatus Veblenbacteria	4.24246448155705e-07	2.34112044619883e-07	4.86747804280655e-07	4.12603042452314e-07	0.0	0.0	4.99315189217987e-07	2.85972594837704e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Candidatus Woesebacteria	0.000198971584185	0.0001273569522732	0.000163060514434	0.0001081019971225	6.33946885162896e-05	0.0001049162837999	0.00014679866563	0.0002181562366333	0.0001127093828048	0.0036330608537693	0.0003466204506065	0.001937984496124	0.0	0.0022710068130204	0.0010443864229765	0.0007490636704119	0.0013377926421404	0.000430848772081	0.0002749518834204	0.0	0.0004651884013025	0.0015509887553315	0.0	0.0015228426395939	0.0	0.0016519823788546	0.0	0.0012662234884457	0.0	0.0002429248147698	0.0016731734523145	0.0008869179600886	0.0004650622020695	0.0006020469596628	0.001001001001001	0.0005567928730512	0.0002474634991338	0.0010787486515641	0.0003000300030003	0.0029717682020802	0.0009099181073703	0.0003372681281618	0.0015090543259557	0.0020325203252032	0.0	0.0011695906432748	0.0022331397945511	0.0002830455703368	0.0018957345971564	0.0011995201919232	0.0004960317460317	0.0004926108374384	0.0001921212217101	0.0004024684733029	0.000178668663218
Candidatus Gottesmanbacteria	0.0002248506175225	7.983220721538e-05	0.0001494315759141	0.0001320329735847	5.49282968903357e-05	6.15508864959687e-05	0.0001542883934683	8.9060036678028e-05	6.60462625353294e-05	0.0	0.0	0.0006459948320413	0.0	0.0015140045420136	0.0002610966057441	0.0	0.0	0.0002154243860405	0.0002749518834204	0.0	0.0001550628004341	0.0	0.0	0.0005076142131979	0.0003435245620061	0.0	0.0	0.0	0.0	0.0	0.0	0.0004434589800443	0.0002325311010347	0.0	0.0003336670003336	0.0001855976243504	0.0	0.0	0.0006000600060006	0.0	0.0	0.0	0.0005030181086519	0.0005081300813008	0.000432525951557	0.0005847953216374	0.0	0.0	0.0	0.0	0.0004960317460317	0.0	0.0001265739813619	4.79129134884434e-05	9.35883473999455e-05
Candidatus Roizmanbacteria	0.0002965482672608	0.0001404672267719	0.0001835039222138	0.0002120779638204	9.54017788095304e-05	0.0001440850297519	0.0001962308693626	0.0010115259211687	0.0001139058730681	0.0018165304268846	0.0003466204506065	0.0006459948320413	0.0	0.0007570022710068	0.0007832898172323	0.0012484394506866	0.0006688963210702	0.000430848772081	0.0005499037668408	0.0003790032215273	0.0001550628004341	0.0003877471888328	0.0003016591251885	0.0015228426395939	0.0003435245620061	0.001101321585903	0.0009394081728511	0.0012662234884457	0.0004317789291882	0.0002429248147698	0.0011154489682097	0.0008869179600886	0.0001162655505173	0.0003010234798314	0.001001001001001	0.0001855976243504	0.0002474634991338	0.000539374325782	0.0006000600060006	0.0009905894006934	0.0013648771610555	0.0010118043844856	0.0005030181086519	0.0010162601626016	0.000432525951557	0.0011695906432748	0.0013398838767306	0.0008491367110104	0.0009478672985781	0.0007996801279488	0.0009920634920634	0.0004926108374384	0.0003096542044034	0.0004216336386983	0.0002127007895453
Candidatus Levybacteria	0.0001548499535768	8.89625769555555e-05	0.0001134122383973	8.6646638914986e-05	5.80257572412944e-05	4.15002189253122e-05	9.08753644376737e-05	7.59870037711615e-05	6.72427527986506e-05	0.0	0.0	0.0012919896640826	0.0	0.0015140045420136	0.0002610966057441	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0005076142131979	0.0	0.0005506607929515	0.0	0.0	0.0	0.0001214624073849	0.0	0.0	0.0	0.0	0.0003336670003336	0.0	0.0	0.000539374325782	0.0	0.0	0.0004549590536851	0.0	0.0	0.0	0.0	0.0	0.0008932559178204	0.0	0.0	0.0003998400639744	0.0	0.0	0.0002328057157193	0.0003258078117214	0.0002382248842907
Candidatus Daviesbacteria	9.12129863534766e-05	8.33438878846783e-05	8.61543613576759e-05	7.55063567687735e-05	4.06799792759253e-05	2.05169621653229e-05	8.43842669778399e-05	9.11026980697258e-05	6.96357333252929e-05	0.0018165304268846	0.0	0.0	0.0014461315979754	0.0007570022710068	0.0	0.0004993757802746	0.0006688963210702	0.0	0.0002749518834204	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0004697040864255	0.0	0.0	0.0	0.0	0.0	0.0001162655505173	0.0	0.0	0.0	0.0002474634991338	0.0	0.0	0.0	0.0004549590536851	0.0	0.0005030181086519	0.0005081300813008	0.000432525951557	0.0	0.0008932559178204	0.0	0.0	0.0	0.0004960317460317	0.0004926108374384	0.0001130124833589	0.000153321323163	5.95562210726926e-05
Candidatus Curtissbacteria	9.39705882664887e-05	5.33775461733333e-05	9.24820828133244e-05	8.37584176178198e-05	2.89096299422819e-05	3.75367148706475e-05	9.93637226543795e-05	0.0001160231670484	3.92448806369348e-05	0.0009082652134423	0.0	0.0	0.0	0.0007570022710068	0.0	0.0002496878901373	0.0	0.0	0.0	0.0	0.0	0.0003877471888328	0.0	0.0005076142131979	0.0	0.0	0.0	0.0003165558721114	0.0	0.0	0.0	0.0	0.0001162655505173	0.0	0.0003336670003336	0.0	0.0	0.0	0.0	0.0	0.0004549590536851	0.0	0.0	0.0	0.0	0.0	0.0	0.0002830455703368	0.0	0.0007996801279488	0.0	0.0	7.45882390168818e-05	0.0001054084096745	5.10481894908794e-05
Candidatus Shapirobacteria	7.12734032901585e-05	3.37121344252631e-05	6.13302233393625e-05	2.80570068867574e-05	2.33342013105561e-05	3.264062162665e-05	5.54239860031966e-05	6.61822290910116e-05	3.82876884262779e-05	0.0	0.0	0.0	0.0	0.0007570022710068	0.0	0.0002496878901373	0.0006688963210702	0.0	0.0	0.0	0.0001550628004341	0.0	0.0	0.0005076142131979	0.0	0.0005506607929515	0.0	0.0	0.0	0.0	0.0005577244841048	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0004952947003467	0.0	0.0	0.0	0.0	0.000432525951557	0.0	0.0004466279589102	0.0	0.0	0.0	0.0	0.0004926108374384	6.78074900153471e-05	5.74954961861321e-05	2.55240947454397e-05
Candidatus Beckwithbacteria	7.16976497383142e-05	6.36784761366081e-05	7.44724140549402e-05	1.85671369103542e-05	1.59002964682551e-05	1.18905121639939e-05	5.24280948678887e-05	2.900579176211e-05	3.06301507410223e-05	0.0	0.0	0.0006459948320413	0.0	0.0	0.0	0.0	0.0	0.0002154243860405	0.0002749518834204	0.0001895016107636	0.0001550628004341	0.0003877471888328	0.0	0.0005076142131979	0.0	0.0	0.0	0.0	0.0	0.0001214624073849	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0005847953216374	0.0	0.0005660911406736	0.0	0.0	0.0	0.0004926108374384	0.0001062317343573	0.0001149909923722	1.70160631636265e-05
